2,2024-01-01 00:57:55,2024-01-01 01:17:43,1,1.72,1,N,186,79,2,17.7,1.0,0.5,0.0,0.0,1.0,22.7,2.5,0.0
1,2024-01-01 00:03:00,2024-01-01 00:09:36,1,1.8,1,N,140,236,1,10.0,3.5,0.5,3.75,0.0,1.0,18.75,2.5,0.0
1,2024-01-01 00:17:06,2024-01-01 00:35:01,1,4.7,1,N,236,79,1,23.3,3.5,0.5,3.0,0.0,1.0,31.3,2.5,0.0
1,2024-01-01 00:36:38,2024-01-01 00:44:56,1,1.4,1,N,79,211,1,10.0,3.5,0.5,2.0,0.0,1.0,17.0,2.5,0.0
1,2024-01-01 00:46:51,2024-01-01 00:52:57,1,0.8,1,N,211,148,1,7.9,3.5,0.5,3.2,0.0,1.0,16.1,2.5,0.0
1,2024-01-01 00:54:08,2024-01-01 01:26:31,1,4.7,1,N,148,141,1,29.6,3.5,0.5,6.9,0.0,1.0,41.5,2.5,0.0
2,2024-01-01 00:49:44,2024-01-01 01:15:47,2,10.82,1,N,138,181,1,45.7,6.0,0.5,10.0,0.0,1.0,64.95,0.0,1.75
1,2024-01-01 00:30:40,2024-01-01 00:58:40,0,3.0,1,N,246,231,2,25.4,3.5,0.5,0.0,0.0,1.0,30.4,2.5,0.0
2,2024-01-01 00:26:01,2024-01-01 00:54:12,1,5.44,1,N,161,261,2,31.0,1.0,0.5,0.0,0.0,1.0,36.0,2.5,0.0
2,2024-01-01 00:28:08,2024-01-01 00:29:16,1,0.04,1,N,113,113,2,3.0,1.0,0.5,0.0,0.0,1.0,8.0,2.5,0.0
2,2024-01-01 00:35:22,2024-01-01 00:41:41,2,0.75,1,N,107,137,1,7.9,1.0,0.5,0.0,0.0,1.0,12.9,2.5,0.0
1,2024-01-01 00:25:00,2024-01-01 00:34:03,2,1.2,1,N,158,246,1,14.9,3.5,0.5,3.95,0.0,1.0,23.85,2.5,0.0
1,2024-01-01 00:35:16,2024-01-01 01:11:52,2,8.2,1,N,246,190,1,59.0,3.5,0.5,14.15,6.94,1.0,85.09,2.5,0.0
1,2024-01-01 00:43:27,2024-01-01 00:47:11,2,0.4,1,N,68,90,1,5.8,3.5,0.5,1.25,0.0,1.0,12.05,2.5,0.0
1,2024-01-01 00:51:53,2024-01-01 00:55:43,1,0.8,1,N,90,68,2,6.5,3.5,0.5,0.0,0.0,1.0,11.5,2.5,0.0
1,2024-01-01 00:50:09,2024-01-01 01:03:57,1,5.0,1,N,132,216,2,21.2,2.75,0.5,0.0,0.0,1.0,25.45,0.0,1.75
1,2024-01-01 00:41:06,2024-01-01 00:53:42,1,1.5,1,N,164,79,1,12.8,3.5,0.5,4.45,0.0,1.0,22.25,2.5,0.0
2,2024-01-01 00:52:09,2024-01-01 00:52:28,1,0.0,1,N,237,237,2,3.0,1.0,0.5,0.0,0.0,1.0,8.0,2.5,0.0
2,2024-01-01 00:56:38,2024-01-01 01:03:17,1,1.5,1,N,141,263,1,9.3,1.0,0.5,3.0,0.0,1.0,17.3,2.5,0.0
2,2024-01-01 00:32:34,2024-01-01 00:49:33,1,2.57,1,N,161,263,1,17.7,1.0,0.5,10.0,0.0,1.0,32.7,2.5,0.0
2,2024-01-01 00:52:30,2024-01-01 00:57:37,1,0.66,1,N,263,236,1,6.5,1.0,0.5,2.88,0.0,1.0,14.38,2.5,0.0
1,2024-01-01 00:36:30,2024-01-01 01:13:53,2,1.7,1,N,246,170,1,29.6,3.5,0.5,6.9,0.0,1.0,41.5,2.5,0.0
2,2024-01-01 00:44:24,2024-01-01 00:51:57,1,0.94,1,N,158,113,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
1,2024-01-01 00:14:29,2024-01-01 00:14:29,1,0.0,1,N,236,264,2,3.0,3.5,0.5,0.0,0.0,1.0,8.0,2.5,0.0
1,2024-01-01 00:42:05,2024-01-01 01:16:49,1,23.9,5,N,263,265,1,120.0,0.0,0.0,0.0,6.94,1.0,127.94,0.0,0.0
